Domain|Name|Title|Implementation|DefaultValue|Kind|Remarks
ICM|02|Initialization Action in Initialization Procedure of InCommand|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Use information in incoming packet to initialize InCommand and return 'action successful'|SPC|
ICM|03|Configuration Check in Reset Procedure of InCommand|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Returns 'check successful' if information carried by packet is valid|SPC|
ICM|04|Configuration Action in Reset Procedure of InCommand|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Use information in incoming packet to configure InCommand and return 'action successful'|SPC|
ICM|05|Shutdown Action of InCommand (closes BAS-5)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
ICM|06|Execution Procedure of InCommand (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
ICM|07|Ready Check of InCommand|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmCheckAlwaysTrue}.|Return 'command is ready'|SPC|
ICM|08|Start Action of InCommand|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|Set action outcome to 'success'|SPC|
ICM|09|Progress Action of InCommand|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|Set action outcome to 'completed'|SPC|
ICM|10|Termination Action of InCommand|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|Set action outcome to 'success'|SPC|
ICM|11|Abort Action of InCommand|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|Do nothing|SPC|
ICM|12|Operation to Report Start Failed for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_STR\_FAIL with command's identifier and with identifier of reason of failure as parameters.|SPC|
ICM|13|Operation to Report Start Successful for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_STR\_SUCC with command's identifier as parameter.|SPC|
ICM|14|Operation to Report Progress Failed for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_PRG\_FAIL with command's identifier, progress step and with identifier of reason of failure as parameters.|SPC|
ICM|15|Operation to Report Progress Successful for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_PRG\_SUCC with command's identifier and progress step as parameters.|SPC|
ICM|16|Operation to Report Termination Failed for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_TRM\_FAIL with command's identifier and with identifier of reason of failure as parameters.|SPC|
ICM|17|Operation to Report Report Termination Successful for InCommand|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_TRM\_FAIL with command's identifier as parameter.|SPC|
ICM|18|Service Type Attribute of InCommand|Implemented by Adaptation Point C2-IFA-4.|No default provided at framework level|SPC|
ICM|19|Command Sub-Type Attribute of InCommand|Implemented by Adaptation Point C2-IFA-4.|No default provided at framework level|SPC|
ICM|20|Discriminant Attribute of InCommand|Implemented by Adaptation Point C2-IFA-4.|Default value is: 'no discriminant'|SPC|
ICM|21|Parameter Attributes of InCommand|This Adaptation Point is implemented indirectly: applications must extend InCommands and must define the range of parameters for each kind of InCommand and the operations to get their values.|Default value is: 'no parameters'|SPC|
ILD|01|Initialization Check in Initialization Procedure of InLoader (closes BAS-1)|This Adaptation Point is closed at framework level by using the default component initialization check. The LIM is defined implicitly in the function through which the InManager is selected (see adaptation point \#AdaptPoint:AP-ILD:17).|Return 'check successful' iff the sizes of the LIM is a positive integer|SPC|
ILD|02|Initialization Action in Initialization Procedure of InLoader (closes BAS-2)|This Adaptation Point is closed at framework level by using the default component initialization action. The LIM is defined implicitly in the function through which the InManager is selected (see adaptation point \#AdaptPoint:AP-ILD:17).|Allocate resources for the LIM and return 'Action Successful' iff the allocation succeeds|SPC|
ILD|03|Configuration Check in Reset Procedure of InLoader (closes BAS-3)|This Adaptation Point is closed at framework level by using the default component configuration check. The LIM is defined implicitly in the function through which the InManager is selected (see adaptation point \#AdaptPoint:AP-ILD:17 ).|Returns 'check successful' if: (a) the information to update (or initialize) the content of the LIM is valid; and (b) the information to re-route packets is valid.|SPC|
ILD|04|Configuration Action in Reset Procedure of InLoader (closes BAS-4)|This Adaptation Point is closed at framework level by using the default component configuration check. The LIM is defined implicitly in the function through which the InManager is selected (see adaptation point \#AdaptPoint:AP-ILD:17 ).|(a) update (or initialize) content of LIM; and (b) update (or initialize) packet re-routing information.|SPC|
ILD|05|Shutdown Action of InLoader (closes BAS-5)|This Adaptation Point is closed at framework level.|Same as in Base Component.|SPC|
ILD|06|Execution Procedure of InLoader (closes BAS-6)|This Adaptation Point is closed at framework level.|Implemented as InLoader Execution Procedure.|SPC|
ILD|07|Size of List of InManagers in InLoader|The InLoader of the C2 Implementation does not explicitly define a List of InManager. This Adaptation Point is subsumed in the Adaptation Point for the selection of the InManager (\#AdaptPoint:AP-ILD:17).|Default size is 2.|SPC|
ILD|08|Content of List of InManagers in InLoader|The InLoader of the C2 Implementation does not explicitly define a List of InManager. It only defines the function to return the InManager where the InReport or InCommand must be loaded (see \#AdaptPoint:AP-ILD:17).|No default provided at framework level.|SPC|
ILD|09|Operation to Determine Re-Routing Destination of Packets|Function pointer in \texttt{CrFwInLoaderUserPar.h}. Default implementation is provided \texttt{CrFwInLoader.h}.|Re0routing destination is set to the destination of the incoming packet.|SPC|
ILD|10|Operation to Get Packet Destination|Implemented by Adaptation Point \#AdaptPoint:C2-PCK:01|No default provided at framework level.|SPC|
ILD|11|Operation to Check Packet Destination Validity|The check of the destination validity is performed by the function which returns the re-routing destination.|Always returns 'destination is valid'.|SPC|
ILD|12|Operation to Report Packet Destination Invalid|Implemented by Adaptation Point \#AdaptPoint:C2-ERR:01|Generate error report INLOADER\_INV\_DEST with the destination identifier as a parameter|SPC|
ILD|13|Operation to Get Packet Type|Implemented by Adaptation Point \#AdaptPoint:C2-PCK:01|No default provided at framework level|SPC|
ILD|14|Operation to Report Acceptance Failure|Implemented by Adaptation Point C2-ACK-1.|For InCommands: generate command acknowledge report CMD\_ACK\_ACC\_FAIL with command's identifier and with identifier of reason of failure as parameters.. For InReports: generate error report INLOADER\_ACC\_FAIL with report's identifier and with identifier of reason of acceptance failure as parameters.|SPC|
ILD|15|Operation to Report Acceptance Success|Implemented by Adaptation Point C2-ACK-1.|Generate command acknowledge report CMD\_ACK\_ACC\_SUCC with command's identifier as parameter.|SPC|
ILD|16|Operation to Deserialize Packet|Packets are not deserialized in the C2 Implementation. Instead, the packet itself is attached to the component encapsulating the incoming report or command. This adaptation point is closed in the C2 Implementation.|No default provided at framework level.|SPC|
ILD|17|Operation to Select InManager where Incoming Report or Command is Loaded|Function pointer in \texttt{CrFwInLoaderUserPar.h}. Default implementation is provided \texttt{CrFwInLoader.h}.|For InCommands, select first InManager in LIM; for InReport, select second InManager in LIM.|SPC|
ILD|18|Operation to Check Packet Type Validity|This check is implemented in function \texttt{CrFwInFactoryMakeInCmd} for incoming command and in function \texttt{CrFwInFactoryMakeInRep} for incoming report. These functions check that the type is supported by the application.|No default provided at framework level|SPC|
IMG|01|Size of PCRL of InManager|\texttt{\#DEFINE} constants (one for each InManager) in \texttt{CrFwInManagerUserPar.h}|Default size is 1.|SPC|
IMG|02|Initialization Check in Initialization Procedure of InManager (closes BAS-1)|This Adaptation Point is closed at framework level. The check on the PCRL size is done as part of the InManager configuration checks in function \texttt{CrFwAuxInManagerConfigCheck} (see section \ref{sec:ConfigCheck}).|Returns 'check successful' if the size of the PCRL has been set to a positive integer value.|SPC|
IMG|03|Initialization Action in Initialization Procedure of InManager (closes BAS-2)|This Adaptation Point is closed at framework level.|Allocate resources for PCRL and return 'Action Successful' iff the allocation succeeds|SPC|
IMG|04|Configuration Check in Reset Procedure of InManager (closes BAS-3)|This Adaptation Point is closed at framework level.|Same as in Base Component|SPC|
IMG|05|Configuration Action in Reset Procedure of InManager (closes BAS-4)|This Adaptation Point is closed at framework level.|Release all InCommands and InReports in the PCRL; reset the counter of successfully loaded InCommands and InReports; reset the PCRL; and return 'Action Successful'|SPC|
IMG|06|Shutdown Action of InManager (closes BAS-5)|This Adaptation Point is closed at framework level.|Release all InCommands and InReports in the PCRL; reset the PCRL;|SPC|
IMG|07|Execution Procedure of InManager (closes BAS-6)|This Adaptation Point is closed at framework level.|Implemented as InManager Execution Procedure.|SPC|
IMG|08|Operation to Report PCRL of InManager Full|Implemented by Adaptation Point \#AdaptPoint:C2-ERR:01|Generate INMANAGER\_PCRL\_FULL Error Report|SPC|
IRG|01|Maximum Number of Trackable InCommands/InReports in InRegistry|\texttt{\#DEFINE} constant in \texttt{CrFwInRegistryUserPar.h}|Default value is 1.|SPC|
IRG|02|Initialization Check in Initialization Procedure of InRegistry (closes BAS-1)|This Adaptation Point is closed at framework level. The maximum number of trackable InCommands/InReports is a statically defined configuration parameter of the framework. Hence, the check required by this requirement is performed Configuration Check Function \texttt{CrFwAuxInRegistryConfigCheck} (see section \ref{sec:ConfigCheck} of reference [CR-UM]). This configuration check is therefore implemented to always return ?check successful?.|Returns 'check successful' if the maximum number of trackable InCommands/InReports has been set to a positive integer value.|SPC|
IRG|03|Initialization Action in Initialization Procedure of InRegistry (closes BAS-2)|This Adaptation Point is closed at framework level.|Allocate the resources for tracking the commands and reports and returns: 'action successful' if the allocation succeeds or 'action failed' if the allocation fails.|SPC|
IRG|04|Configuration Check in Reset Procedure of InRegistry (closes BAS-3)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
IRG|05|Configuration Action in Reset Procedure  (closes BAS-4)|This Adaptation Point is closed at framework level.|Clear all information about tracked InCommands and InReports; return: 'action successful'.|SPC|
IRG|06|Shutdown Action of InRegistry (closes BAS-5)|This Adaptation Point is closed at framework level.|Clear all information about tracked InCommands and InReports.|SPC|
IRG|07|Execution Procedure of InRegistry (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
IRP|01|Initialization Check in Initialization Procedure of InReport|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Returns 'check successful' if information for initializing InReport using data in incoming packet is valid|SPC|
IRP|02|Initialization Action in Initialization Procedure of InReport|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Use information in incoming packet to initialize InReport and return 'action successful'|SPC|
IRP|03|Configuration Check in Reset Procedure of InReport|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Returns 'check successful' if information for configuring InReport using data in incoming packet is valid|SPC|
IRP|04|Configuration Action in Reset Procedure of InReport|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Use information in incoming packet to configure InReport and return 'action successful'|SPC|
IRP|05|Shutdown Action of InReport (closes BAS-5)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
IRP|06|Execution Procedure of InReport (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
IRP|07|Update Action of InReport|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided at framework level.|Do nothing|SPC|
IRP|08|Service Type Attribute of InReport|Implemented by Adaptation Point C2-IFA-3.|No default provided at framework level|SPC|
IRP|09|Sub-Type Attribute of InReport|Implemented by Adaptation Point C2-IFA-3.|No default provided at framework level|SPC|
IRP|10|Discriminant Attribute of InReport|Implemented by Adaptation Point C2-IFA-3.|Default value is: 'no discriminant'|SPC|
IRP|11|Parameter Attribute of InReport|This Adaptation Point is implemented indirectly: applications must extend InCommands and must define the range of parameters for each kind of InCommand and the operations to get their values.|Default value is: 'no parameters'|SPC|
IST|01|Size of the Packet Queue in InStream|\texttt{\#DEFINE} constant (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}|Default size is 1|SPC|
IST|02|Initialization Check in Initialization Procedure of InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}. The size of the Packet Queue is a statically defined configuration parameter. The fact that it must be positive is checked by the Configuration Check Function <code>\#CrFwAuxInStreamConfigCheck</code> (see section \ref{sec:ConfigCheck}).|Returns 'check successful' if the size of the Packet Queue has been set to a positive integer|SPC|
IST|03|Initialization Action in Initialization Procedure of InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|Allocate resources for Packet Queue and return 'Action Successful' iff the allocation succeeds|SPC|
IST|04|Configuration Action in Reset Procedure of InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|Reset the Packet Queue and return 'Action Successful'|SPC|
IST|05|Shutdown Action of InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|Reset the Packet Queue|SPC|
IST|06|Execution Procedure of InStream (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
IST|07|Operation to Get Packet Source from Incoming Packet|Implemented by Adaptation Point \#AdaptPoint:C2-PCK:01|No value defined at framework level|SPC|
IST|08|Operation to Get Packet Sequence Counter from Incoming Packet|Implemented by Adaptation Point \#AdaptPoint:C2-PCK:01|No value defined at framework level|SPC|
IST|09|Operation to Report Sequence Counter Error|Implemented by Adaptation Point \#AdaptPoint:C2-ERR:01|Generate INSTREAM\_SC\_ERR Error Report with expected and actual sequence counter values|SPC|
IST|10|Operation to Report Packet Queue Full|Implemented by Adaptation Point \#AdaptPoint:C2-ERR:01|Generate INSTREAM\_PQ\_FULL Error Report|SPC|
IST|11|Packet Collect Operation for InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Only a test stub is provided as default at framework level.|No default defined at framework level|SPC|
IST|12|Packet Available Check Operation for InStream|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Only a test stub is provided as default at framework level.|No default defined at framework level|SPC|
IST|13|Operation to get Group to which Incoming Packet belongs|Implemented through adaptation point \#AdaptPoint:C2-PCK:01|No default defined at framework level|SPC|
OCM|01|Initialization Check in Initialization Procedure of OutComponent|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|02|Initialization Action in Initialization Procedure of OutComponent|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|03|Configuration Check in Reset Procedure of OutComponent|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|04|Configuration Action in Reset Procedure of OutComponent|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|05|Shutdown Action in Base Component of OutComponent|OutComponents are provided by the OutFactory in the CONFIGURED state and are not intended to be ever shut down. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|06|Execution Procedure of OutComponent (closes BAS-6)|The OutComponents are not intended to be ever executed. This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OCM|07|Service Type Attribute of OutComponent|This Adaptation Point is implemented by adaptation point OFA-2.|No default provided at framework level|SPC|
OCM|08|Command/Report Sub-Type Attribute of OutComponent|This Adaptation Point is implemented by adaptation point OFA-2.|No default provided at framework level|SPC|
OCM|09|Destination Attribute of OutComponent|This Adaptation Point is implemented by adaptation point OFA-2.|No default provided at framework level|SPC|
OCM|10|Acknowledge Level Attribute of OutComponent|This Adaptation Point is implemented by adaptation point C2-PCK-1.|Default value is: 'no acknowledge required' (only relevant for OutCommands)|SPC|
OCM|11|Discriminant Attribute of OutComponent|This Adaptation Point is implemented by adaptation point OFA-2.|Default value is: 'no discriminant'|SPC|
OCM|12|Parameter Attribute of OutComponent|This Adaptation Point is implemented indirectly: applications must extend OutComponents and must define the range of parameters for each OutComponent and the operations to set their values.|Default value is: 'no parameters'|SPC|
OCM|13|Enable Check Operation of OutComponent|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|Query the OutRegistry for the enable status of the command or report encapsulated in the OutComponent and set value of isEnable accordingly|SPC|
OCM|14|Ready Check Operation of OutComponent|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|Set value of isReady flag to true|SPC|
OCM|15|Repeat Check Operation of OutComponent|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|Return `No Repeat`|SPC|
OCM|16|Update Action of OutComponent|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|Set Time Stamp of OutComponent to current time|SPC|
OCM|17|Serialize Operation of OutComponent|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|No default defined at framework level|SPC|
OCM|18|Operation to Report Invalid Destination of an OutComponent|Implemented by Adaptation Point C2-ERR-1.|Generate SNDPCKT\_INV\_DEST Error Report with invalid destination as a parameter|SPC|
OLD|01|Initialization Check in Initialization Procedure of OutLoader|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns 'check successful' is provided in \texttt{CrFwOutLoader.h}. The LOM has been implicitly implemented in the operation to select the OutManager (see \#AdaptPoint:AP-OLD:07).|Returns 'check successful' if the size of the LOM (List of OutManagers) has been set to a positive integer value.|SPC|
OLD|02|Initialization Action in Initialization Procedure  of OutLoader|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}. The LOM has been implicitly implemented in the operation to select the OutManager (see \#AdaptPoint:AP-OLD:07).|Allocate resources for LOM and return 'Action Successful' iff the allocation succeeds|SPC|
OLD|03|Configuration Check in Reset Procedure of OutLoader|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns 'check successful' is provided in \texttt{CrFwOutLoader.h}. The LOM has been implicitly implemented in the operation to select the OutManager (see \#AdaptPoint:AP-OLD:07).|Returns 'check successful' iff all the information is available to update (or initialize) the value of the LOM.|SPC|
OLD|04|Configuration Action in Reset Procedure of OutLoader|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}. The LOM has been implicitly implemented in the operation to select the OutManager (see \#AdaptPoint:AP-OLD:07).|Update (or initialize) the LOM and return 'Action Successful'|SPC|
OLD|05|Shutdown Action of OutLoader|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|Same as in Base Component.|SPC|
OLD|06|Execution Procedure of OutLoader (closes BAS-6)|This Adaptation Point is closed at framework level.|Same as in Base Component.|SPC|
OLD|07|OutManager Selection Operation|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns the first OutManager in the LOM is provided in \texttt{CrFwOutLoader.h}.|Select the first OutManager in the LOM|SPC|
OLD|08|OutManager Activation Operation|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|Do nothing|SPC|
OLD|09|Operation to set Set Time-Stamp in Outgoing Packets|Implemented by Adaptation Point C2-PCK-1.|No value defined at framework level|SPC|
OMG|01|Size of POCL of OutManager|\texttt{\#DEFINE} constants (one for each OutManager) in \texttt{CrFwOutManagerUserPar.h}|Default size is 1.|SPC|
OMG|02|Initialization Check in Initialization Procedure of OutManager (closes BAS-1)|This Adaptation Point is closed at framework level. The check on the POCL size is done as part of the OutManager configuration checks in function \texttt{CrFwAuxOutManagerConfigCheck} (see section \ref{sec:ConfigCheck}).|Returns 'check successful' if the size of the POCL has been set to a positive integer value.|SPC|
OMG|03|Initialization Action in Initialization Procedure of OutManager (closes BAS-2)|This Adaptation Point is closed at framework level.|Allocate resources for POCL and return 'Action Successful' iff the allocation succeeds|SPC|
OMG|04|Configuration Check in Reset Procedure of OutManager (closes BAS-3)|This Adaptation Point is closed at framework level.|Same as in Base Component|SPC|
OMG|05|Configuration Action in Reset Procedure  (closes BAS-4)|This Adaptation Point is closed at framework level.|Release all OutComponents in the POCL; reset the POCL; reset the counter of successfully loaded OutComponents; and return 'Action Successful'|SPC|
OMG|06|Shutdown Action in Base Component of OutManager (closes BAS-5)|This Adaptation Point is closed at framework level.|Release all OutComponents in the POCL; reset the POCL|SPC|
OMG|07|Execution Procedure in Base Component of OutManager (closes BAS-6)|This Adaptation Point is closed at framework level.|Implemented as procedure of Manager Execution Procedure|SPC|
OMG|08|Operation to Report POCL of OutManager Full|Implemented by Adaptation Point \#AdaptPoint:C2-ERR:01|Generate OUTMANAGER\_POCL\_FULL Error Report|SPC|
ORG|01|Maximum Number of Trackable Commands/Reports for OutRegistry|\texttt{\#DEFINE} constant in \texttt{CrFwOutRegistryUserPar.h} defines types, sub-types and range of discriminant values supported by application.|Default value is 1.|SPC|
ORG|02|Initialization Check in Initialization Procedure of OutRegistry (closes BAS-1)|This Adaptation Point is closed at framework level. The maximum number of trackable commands/reports is a statically defined configuration parameter of the framework. Hence, the check required by this requirement is performed Configuration Check Function \texttt{CrFwAuxOutRegistryConfigCheck} (see section \ref{sec:ConfigCheck} of reference [CR-UM]). This configuration check is therefore implemented to always return ?check successful?.|Returns 'check successful' if the maximum number of trackable commands/reports has been set to a positive integer value.|SPC|
ORG|03|Initialization Action in Initialization Procedure of OutRegistry (closes BAS-2)|This Adaptation Point is closed at framework level.|Allocate the resources for tracking the commands and reports and returns: 'action successful' if the allocation succeeds or 'action failed' if the allocation fails.|SPC|
ORG|04|Configuration Check in Reset Procedure of OutRegistry (closes BAS-3)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
ORG|05|Configuration Action in Reset Procedure of OutRegistry (closes BAS-4)|This Adaptation Point is closed at framework level.|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports; and return: 'action successful'.|SPC|
ORG|06|Shutdown Action of OutRegistry (closes BAS-5)|This Adaptation Point is closed at framework level.|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports.|SPC|
ORG|07|Execution Procedure of OutRegistry (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
OSR|01|Initialization Check in Initialization Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|02|Initialization Action in Initialization Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|03|Configuration Check in  Reset Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Returns 'check successful' if the information to set up the link between the packet destinations and the OutStreams is available.|SPC|
OSR|04|Configuration Action in Reset Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Set up and configure the link between the packet destinations and the OutStreams.|SPC|
